Soma de Coeficiente_IPM,Data
"34,2419211",2020-01-15 00:00:00
"34,2419211",2020-02-15 00:00:00
"34,2419211",2020-03-15 00:00:00
"34,2419211",2020-04-15 00:00:00
"34,2419211",2020-05-15 00:00:00
"34,2419211",2020-06-15 00:00:00
"34,2419211",2020-07-15 00:00:00
"34,2419211",2020-08-15 00:00:00
"34,2419211",2020-09-15 00:00:00
"34,2419211",2020-10-15 00:00:00
"34,2419211",2020-11-15 00:00:00
"34,2419211",2020-12-15 00:00:00
"32,8664779",2021-01-15 00:00:00
"32,8664779",2021-02-15 00:00:00
"32,8664779",2021-03-15 00:00:00
"32,8664779",2021-04-15 00:00:00
"32,8664779",2021-05-15 00:00:00
"32,8664779",2021-06-15 00:00:00
"32,8664779",2021-07-15 00:00:00
"32,8664779",2021-08-15 00:00:00
"32,8664779",2021-09-15 00:00:00
"32,8664779",2021-10-15 00:00:00
"32,8664779",2021-11-15 00:00:00
"32,8664779",2021-12-15 00:00:00
"31,9791450",2022-01-15 00:00:00
"31,9791450",2022-02-15 00:00:00
"31,9791450",2022-03-15 00:00:00
"31,9791450",2022-04-15 00:00:00
"31,9791450",2022-05-15 00:00:00
"31,9791450",2022-06-15 00:00:00
"31,9791450",2022-07-15 00:00:00
"31,9791450",2022-08-15 00:00:00
"31,9791450",2022-09-15 00:00:00
"31,9791450",2022-10-15 00:00:00
"31,9791450",2022-11-15 00:00:00
"31,9791450",2022-12-15 00:00:00
