;uf;receita;seletor;seletor_model;features;modelo_trinamamento;TempoTotal;LearnRate;LastEpoch;LastmodelLos;LastmodelRMSE;BestSavedEpoch;BestSavedmodelLos;BestSavedmodelRMSE;Data;Predicao;Realizado
0;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;CNN;0.31;1e-04;100;0.3659;0.6049;2;0.0525;0.2292;2022-01-16;20572.87;14208.74
1;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;CNN;0.31;1e-04;100;0.3659;0.6049;2;0.0525;0.2292;2022-02-16;24046.65;15555.34
12;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;LSTM;2.41;1e-04;100;0.0196;0.1399;99;0.0187;0.1367;2022-01-16;15917.73;14208.74
13;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;LSTM;2.41;1e-04;100;0.0196;0.1399;99;0.0187;0.1367;2022-02-16;15000.74;15555.34
24;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;LSTM_COMPLEX;2.43;1e-04;50;0.0201;0.1416;43;0.0189;0.1373;2022-01-16;15385.45;14208.74
25;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;LSTM_COMPLEX;2.43;1e-04;50;0.0201;0.1416;43;0.0189;0.1373;2022-02-16;15099.46;15555.34
36;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;GRU;2.42;1e-04;80;0.035;0.1872;26;0.0226;0.1502;2022-01-16;6581.67;14208.74
37;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;GRU;2.42;1e-04;80;0.035;0.1872;26;0.0226;0.1502;2022-02-16;9055.78;15555.34
48;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;RNN;3.39;1e-04;100;0.0337;0.1836;70;0.0302;0.1738;2022-01-16;16837.65;14208.74
49;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;RNN;3.39;1e-04;100;0.0337;0.1836;70;0.0302;0.1738;2022-02-16;16960.64;15555.34
60;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;RNN_COMPLEX;0.82;0.01;100;0.1027;0.3205;1;0.0563;0.2373;2022-01-16;18104.4;14208.74
61;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;RNN_COMPLEX;0.82;0.01;100;0.1027;0.3205;1;0.0563;0.2373;2022-02-16;18104.4;15555.34
2;MA;FEP;RegressionLasso;XGBRegressor;x_3,x_2,x_1,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,PrcInvRndPrCpMn;CNN;1.33;1e-04;100;1.7086;1.3071;99;1.6805;1.2964;2022-01-18;1152576.62;719937.71
3;MA;FEP;RegressionLasso;XGBRegressor;x_3,x_2,x_1,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,PrcInvRndPrCpMn;CNN;1.33;1e-04;100;1.7086;1.3071;99;1.6805;1.2964;2022-02-18;891900.69;786058.29
14;MA;FEP;RegressionLasso;XGBRegressor;x_3,x_2,x_1,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,PrcInvRndPrCpMn;LSTM;6.43;1e-04;100;1.9548;1.3981;100;1.9548;1.3981;2022-01-18;814103.38;719937.71
15;MA;FEP;RegressionLasso;XGBRegressor;x_3,x_2,x_1,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,PrcInvRndPrCpMn;LSTM;6.43;1e-04;100;1.9548;1.3981;100;1.9548;1.3981;2022-02-18;762292.81;786058.29
26;MA;FEP;RegressionLasso;XGBRegressor;x_3,x_2,x_1,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,PrcInvRndPrCpMn;LSTM_COMPLEX;3.42;1e-04;50;4.9909;2.234;50;4.9909;2.234;2022-01-18;694354.62;719937.71
27;MA;FEP;RegressionLasso;XGBRegressor;x_3,x_2,x_1,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,PrcInvRndPrCpMn;LSTM_COMPLEX;3.42;1e-04;50;4.9909;2.234;50;4.9909;2.234;2022-02-18;659221.19;786058.29
38;MA;FEP;RegressionLasso;XGBRegressor;x_3,x_2,x_1,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,PrcInvRndPrCpMn;GRU;7.4;1e-04;80;3.2639;1.8066;80;3.2639;1.8066;2022-01-18;808762.0;719937.71
39;MA;FEP;RegressionLasso;XGBRegressor;x_3,x_2,x_1,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,PrcInvRndPrCpMn;GRU;7.4;1e-04;80;3.2639;1.8066;80;3.2639;1.8066;2022-02-18;776152.62;786058.29
50;MA;FEP;RegressionLasso;XGBRegressor;x_3,x_2,x_1,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,PrcInvRndPrCpMn;RNN;4.39;1e-04;100;5.646;2.3761;100;5.646;2.3761;2022-01-18;628196.12;719937.71
51;MA;FEP;RegressionLasso;XGBRegressor;x_3,x_2,x_1,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,PrcInvRndPrCpMn;RNN;4.39;1e-04;100;5.646;2.3761;100;5.646;2.3761;2022-02-18;635863.81;786058.29
62;MA;FEP;RegressionLasso;XGBRegressor;x_3,x_2,x_1,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,PrcInvRndPrCpMn;RNN_COMPLEX;2.41;0.01;100;3.3095;1.8192;59;1.2153;1.1024;2022-01-18;913952.94;719937.71
63;MA;FEP;RegressionLasso;XGBRegressor;x_3,x_2,x_1,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,PrcInvRndPrCpMn;RNN_COMPLEX;2.41;0.01;100;3.3095;1.8192;59;1.2153;1.1024;2022-02-18;1000767.25;786058.29
4;MA;FPM;RegressionRidge;GradientBoostingRegressor;x_3,x_1,IPVA,IGPM,IBC_Br,Importacao,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,PIB_MenBR,TransacoesEspeciais,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_MnRestPrim,FinMA_MnRestNom,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_Muns,TOTAL_ArrecMun;CNN;1.11;1e-04;100;1.2833;1.1328;100;1.2833;1.1328;2022-01-19;47013152.0;56972497.09
5;MA;FPM;RegressionRidge;GradientBoostingRegressor;x_3,x_1,IPVA,IGPM,IBC_Br,Importacao,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,PIB_MenBR,TransacoesEspeciais,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_MnRestPrim,FinMA_MnRestNom,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_Muns,TOTAL_ArrecMun;CNN;1.11;1e-04;100;1.2833;1.1328;100;1.2833;1.1328;2022-02-19;52572288.0;74870189.54
16;MA;FPM;RegressionRidge;GradientBoostingRegressor;x_3,x_1,IPVA,IGPM,IBC_Br,Importacao,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,PIB_MenBR,TransacoesEspeciais,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_MnRestPrim,FinMA_MnRestNom,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_Muns,TOTAL_ArrecMun;LSTM;5.41;1e-04;100;1.417;1.1904;94;1.4106;1.1877;2022-01-19;48113196.0;56972497.09
17;MA;FPM;RegressionRidge;GradientBoostingRegressor;x_3,x_1,IPVA,IGPM,IBC_Br,Importacao,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,PIB_MenBR,TransacoesEspeciais,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_MnRestPrim,FinMA_MnRestNom,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_Muns,TOTAL_ArrecMun;LSTM;5.41;1e-04;100;1.417;1.1904;94;1.4106;1.1877;2022-02-19;59328556.0;74870189.54
28;MA;FPM;RegressionRidge;GradientBoostingRegressor;x_3,x_1,IPVA,IGPM,IBC_Br,Importacao,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,PIB_MenBR,TransacoesEspeciais,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_MnRestPrim,FinMA_MnRestNom,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_Muns,TOTAL_ArrecMun;LSTM_COMPLEX;3.41;1e-04;50;1.8327;1.3538;50;1.8327;1.3538;2022-01-19;45281564.0;56972497.09
29;MA;FPM;RegressionRidge;GradientBoostingRegressor;x_3,x_1,IPVA,IGPM,IBC_Br,Importacao,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,PIB_MenBR,TransacoesEspeciais,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_MnRestPrim,FinMA_MnRestNom,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_Muns,TOTAL_ArrecMun;LSTM_COMPLEX;3.41;1e-04;50;1.8327;1.3538;50;1.8327;1.3538;2022-02-19;54361416.0;74870189.54
40;MA;FPM;RegressionRidge;GradientBoostingRegressor;x_3,x_1,IPVA,IGPM,IBC_Br,Importacao,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,PIB_MenBR,TransacoesEspeciais,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_MnRestPrim,FinMA_MnRestNom,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_Muns,TOTAL_ArrecMun;GRU;6.42;1e-04;80;1.8055;1.3437;80;1.8055;1.3437;2022-01-19;48674996.0;56972497.09
41;MA;FPM;RegressionRidge;GradientBoostingRegressor;x_3,x_1,IPVA,IGPM,IBC_Br,Importacao,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,PIB_MenBR,TransacoesEspeciais,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_MnRestPrim,FinMA_MnRestNom,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_Muns,TOTAL_ArrecMun;GRU;6.42;1e-04;80;1.8055;1.3437;80;1.8055;1.3437;2022-02-19;53499176.0;74870189.54
52;MA;FPM;RegressionRidge;GradientBoostingRegressor;x_3,x_1,IPVA,IGPM,IBC_Br,Importacao,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,PIB_MenBR,TransacoesEspeciais,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_MnRestPrim,FinMA_MnRestNom,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_Muns,TOTAL_ArrecMun;RNN;4.39;1e-04;100;2.8743;1.6954;100;2.8743;1.6954;2022-01-19;40631252.0;56972497.09
53;MA;FPM;RegressionRidge;GradientBoostingRegressor;x_3,x_1,IPVA,IGPM,IBC_Br,Importacao,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,PIB_MenBR,TransacoesEspeciais,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_MnRestPrim,FinMA_MnRestNom,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_Muns,TOTAL_ArrecMun;RNN;4.39;1e-04;100;2.8743;1.6954;100;2.8743;1.6954;2022-02-19;41638868.0;74870189.54
64;MA;FPM;RegressionRidge;GradientBoostingRegressor;x_3,x_1,IPVA,IGPM,IBC_Br,Importacao,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,PIB_MenBR,TransacoesEspeciais,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_MnRestPrim,FinMA_MnRestNom,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_Muns,TOTAL_ArrecMun;RNN_COMPLEX;1.18;0.01;100;2.1433;1.464;13;0.5308;0.7286;2022-01-19;58414844.0;56972497.09
65;MA;FPM;RegressionRidge;GradientBoostingRegressor;x_3,x_1,IPVA,IGPM,IBC_Br,Importacao,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,PIB_MenBR,TransacoesEspeciais,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_MnRestPrim,FinMA_MnRestNom,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_Muns,TOTAL_ArrecMun;RNN_COMPLEX;1.18;0.01;100;2.1433;1.464;13;0.5308;0.7286;2022-02-19;60259792.0;74870189.54
6;MA;ICMS;KBest;GradientBoostingRegressor;x_1,DolarComercial,ICMS,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,SalarioMinimo,ResvInternac,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,PIB_MenBR,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,Coef_IPM,Gasolina_Brasil,DvLq_Gov_MA,DvLq_Sao_Luis_MA,Coef_CIFPM_SLZ;CNN;1.38;1e-04;100;3.9328;1.9831;51;2.6255;1.6203;2022-01-20;44257408.0;70700563.89
7;MA;ICMS;KBest;GradientBoostingRegressor;x_1,DolarComercial,ICMS,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,SalarioMinimo,ResvInternac,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,PIB_MenBR,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,Coef_IPM,Gasolina_Brasil,DvLq_Gov_MA,DvLq_Sao_Luis_MA,Coef_CIFPM_SLZ;CNN;1.38;1e-04;100;3.9328;1.9831;51;2.6255;1.6203;2022-02-20;40957836.0;53251349.76
