id_Muni;Municipio;idUF;MunicipioMaiusculo
1501402;Belém - PA;15;BELEM
1721000;Palmas - TO;17;PALMAS
2111300;São Luís - MA;21;SAO LUIS
2304400;Fortaleza - CE;23;FORTALEZA
2704302;Maceió - AL;27;MACEIO
2927408;Salvador - BA;29;SALVADOR
3106200;Belo Horizonte - MG;31;BELO HORIZONTE
5002704;Campo Grande - MS;50;CAMPO GRANDE
1506807;Santarém - PA;15;SANTAREM
