Data;EXP_BC_US;EXP_CL_US;EXP_BI_US;EXP_BK_US;EXP_BNEA_US;IMP_BK_US;IMP_BC_US;IMP_BI_US;IMP_BK_US;IMP_BNEA_US
15/07/2022;3852228115;5021291759;19791704902;1179098653;1211;2190736004;2133397346;16378787884;2190736004;29849450
15/08/2022;4288729451;4995031503;20017272755;1483861997;2013128;2654003071;2695954859;17191663123;2654003071;18958567
15/09/2022;3968547895;4480235309;18819604008;1318755005;191925;2600795871;2584999579;15294781454;2600795871;11315152
15/10/2022;3961056839;3937619834;17600544860;1353070742;184186;2757434951;2471768134;14337143924;2757434951;9876025
15/11/2022;3501418639;6044128466;16716705067;1389991279;60000;2653618215;2617251601;13229882168;2653618215;12262723
15/12/2022;3507062757;5355780900;15522962273;1956529060;61068;2541362827;2458044815;12643113745;2541362827;30069455
15/01/2023;3288505990;4157002803;14307647095;1068646358;62645;2308004480;2556772481;12943999329;2308004480;5067715
15/02/2023;2903364594;2112035254;14116268280;1122951231;50000;2058255142;2241214386;10717153617;2058255142;7266553
15/03/2023;3570560343;6251719549;21595990497;1405640789;450;2637358029;2842303714;13565249966;2637358029;13921938
15/04/2023;3214725513;3067535433;19469522514;1345563642;23008;2207207669;2476885725;11826535159;2207207669;13088056
15/05/2023;3727886785;4927691626;22543311279;1523720462;0;2696475550;2705766294;13194315832;2696475550;11383817
15/06/2023;3662827483;3779672560;20494162565;2022750838;624;2551633255;2562769952;11861029103;2551633255;8247052
